Quê quán,Tuổi tác,Giới tính,Nghề nghiệp,Thu nhập (triệu),Ngân sách thuê nhà (triệu),Thói quen sinh hoạt,Yêu cầu tiện nghi,Địa điểm mục tiêu,Khu vực mong muốn,Diện tích (m2),Số phòng
Hưng Yên,23,Nữ,Kỹ sư,10,3,Thích yên tĩnh,"['An ninh tốt', 'Máy lạnh', 'Nhà vệ sinh riêng']","{'Latitude': 23.263898, 'Longitude': 105.654865}",Hoài Đức,27,1
Điện Biên,24,Nữ,Freelancer,19,5,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'Bếp', 'Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 21.60114, 'Longitude': 102.425265}",Phú Xuyên,43,2
Bắc Kạn,21,Nữ,Sinh viên,4,2,Nuôi thú cưng,"['Nhà vệ sinh riêng', 'Chỗ để xe', 'Nội thất sẵn']","{'Latitude': 16.419646, 'Longitude': 106.183285}",Thạch Thất,20,3
Cao Bằng,32,Nữ,Công nhân,16,5,Không quan trọng,['Nhà vệ sinh riêng'],"{'Latitude': 22.313006, 'Longitude': 107.009253}",Cầu Giấy,48,3
Nam Định,28,Nam,Phục vụ,9,3,Thích yên tĩnh,"['Bếp', 'Nhà vệ sinh riêng', 'Nội thất sẵn', 'An ninh tốt']","{'Latitude': 8.948569, 'Longitude': 108.036487}",Quốc Oai,16,4
Hà Nội,31,Nữ,Freelancer,11,2,Thích yên tĩnh,"['An ninh tốt', 'Nội thất sẵn', 'Chỗ để xe']","{'Latitude': 23.209883, 'Longitude': 104.782218}",Thanh Trì,17,3
Hưng Yên,30,Nữ,Kỹ sư,13,3,Nuôi thú cưng,"['Máy lạnh', 'Chỗ để xe', 'Bếp']","{'Latitude': 8.297079, 'Longitude': 108.118868}",Chương Mỹ,47,2
Nam Định,35,Nam,Phục vụ,15,5,Thích yên tĩnh,"['Chỗ để xe', 'Nội thất sẵn', 'Nhà vệ sinh riêng', 'An ninh tốt']","{'Latitude': 21.067747, 'Longitude': 105.758665}",Tây Hồ,15,1
Thái Bình,34,Nam,Nhân viên văn phòng,8,4,Không quan trọng,"['Nhà vệ sinh riêng', 'Bếp', 'Chỗ để xe', 'Nội thất sẵn']","{'Latitude': 14.554318, 'Longitude': 105.656325}",Long Biên,25,4
Phú Thọ,34,Nữ,Freelancer,13,1,Không quan trọng,"['Máy lạnh', 'Nhà vệ sinh riêng', 'Chỗ để xe', 'An ninh tốt']","{'Latitude': 15.325915, 'Longitude': 106.824326}",Long Biên,13,1
